CentroidLabelIndex_entireUnits,filename,counts
0,Piano Sonata K279 i C major.mid by Mozart.csv,37
0,Piano Sonata K279 ii F major.mid by Mozart.csv,14
0,Piano Sonata K279 iii C major.mid by Mozart.csv,32
0,Piano Sonata K280 i F major.mid by Mozart.csv,40
0,Piano Sonata K282 i Eb major.mid by Mozart.csv,9
0,Piano Sonata K283 i G major.mid by Mozart.csv,18
0,Piano Sonata K284 i D major.mid by Mozart.csv,92
0,Piano Sonata K284 ii A major.mid by Mozart.csv,26
0,Piano Sonata K309 i C major.mid by Mozart.csv,144
0,Piano Sonata K309 ii F major.mid by Mozart.csv,23
0,Piano Sonata K309 iii C major.mid by Mozart.csv,49
0,Piano Sonata K311 ii G major.mid by Mozart.csv,12
0,Piano Sonata K330 i C major.mid by Mozart.csv,53
0,Piano Sonata K330 iii C major.mid by Mozart.csv,41
0,Piano Sonata K332 i F major.mid by Mozart.csv,58
0,Piano Sonata K332 ii Bb major.mid by Mozart.csv,8
0,Piano Sonata K333 i Bb major.mid by Mozart.csv,41
0,Piano Sonata K372a i Bb major.mid by Mozart.csv,98
0,Piano Sonata K457 ii Eb major.mid by Mozart.csv,18
0,Piano Sonata K494 ii Bb major.mid by Mozart.csv,19
0,Piano Sonata K545 i C major.mid by Mozart.csv,13
0,Piano Sonata K545 iii C major.mid by Mozart.csv,15
0,Piano Sonata K570 i Bb major.mid by Mozart.csv,45
0,Piano Sonata K570 ii Eb major.mid by Mozart.csv,27
0,Piano Sonata K576 ii A major.mid by Mozart.csv,13
0,Piano Sonata K576 iii D major.mid by Mozart.csv,20
1,Piano Sonata K279 i C major.mid by Mozart.csv,36
1,Piano Sonata K279 ii F major.mid by Mozart.csv,19
1,Piano Sonata K279 iii C major.mid by Mozart.csv,33
1,Piano Sonata K280 i F major.mid by Mozart.csv,29
1,Piano Sonata K282 i Eb major.mid by Mozart.csv,23
1,Piano Sonata K283 i G major.mid by Mozart.csv,19
1,Piano Sonata K284 i D major.mid by Mozart.csv,76
1,Piano Sonata K284 ii A major.mid by Mozart.csv,18
1,Piano Sonata K309 i C major.mid by Mozart.csv,50
1,Piano Sonata K309 ii F major.mid by Mozart.csv,27
1,Piano Sonata K309 iii C major.mid by Mozart.csv,21
1,Piano Sonata K311 i D major.mid by Mozart.csv,21
1,Piano Sonata K311 ii G major.mid by Mozart.csv,34
1,Piano Sonata K330 i C major.mid by Mozart.csv,56
1,Piano Sonata K330 iii C major.mid by Mozart.csv,70
1,Piano Sonata K332 i F major.mid by Mozart.csv,31
1,Piano Sonata K332 ii Bb major.mid by Mozart.csv,14
1,Piano Sonata K333 i Bb major.mid by Mozart.csv,19
1,Piano Sonata K372a i Bb major.mid by Mozart.csv,84
1,Piano Sonata K457 ii Eb major.mid by Mozart.csv,8
1,Piano Sonata K494 ii Bb major.mid by Mozart.csv,19
1,Piano Sonata K545 i C major.mid by Mozart.csv,14
1,Piano Sonata K545 iii C major.mid by Mozart.csv,6
1,Piano Sonata K570 i Bb major.mid by Mozart.csv,33
1,Piano Sonata K570 ii Eb major.mid by Mozart.csv,11
1,Piano Sonata K576 ii A major.mid by Mozart.csv,8
1,Piano Sonata K576 iii D major.mid by Mozart.csv,34
2,Piano Sonata K279 i C major.mid by Mozart.csv,49
2,Piano Sonata K279 ii F major.mid by Mozart.csv,21
2,Piano Sonata K279 iii C major.mid by Mozart.csv,31
2,Piano Sonata K280 i F major.mid by Mozart.csv,66
2,Piano Sonata K282 i Eb major.mid by Mozart.csv,16
2,Piano Sonata K283 i G major.mid by Mozart.csv,31
2,Piano Sonata K284 i D major.mid by Mozart.csv,70
2,Piano Sonata K284 ii A major.mid by Mozart.csv,15
2,Piano Sonata K309 i C major.mid by Mozart.csv,92
2,Piano Sonata K309 ii F major.mid by Mozart.csv,9
2,Piano Sonata K309 iii C major.mid by Mozart.csv,25
2,Piano Sonata K311 i D major.mid by Mozart.csv,10
2,Piano Sonata K311 ii G major.mid by Mozart.csv,32
2,Piano Sonata K330 i C major.mid by Mozart.csv,50
2,Piano Sonata K330 iii C major.mid by Mozart.csv,45
2,Piano Sonata K332 i F major.mid by Mozart.csv,67
2,Piano Sonata K332 ii Bb major.mid by Mozart.csv,7
2,Piano Sonata K333 i Bb major.mid by Mozart.csv,44
2,Piano Sonata K372a i Bb major.mid by Mozart.csv,114
2,Piano Sonata K457 ii Eb major.mid by Mozart.csv,9
2,Piano Sonata K494 ii Bb major.mid by Mozart.csv,20
2,Piano Sonata K545 i C major.mid by Mozart.csv,22
2,Piano Sonata K545 iii C major.mid by Mozart.csv,14
2,Piano Sonata K570 i Bb major.mid by Mozart.csv,42
2,Piano Sonata K570 ii Eb major.mid by Mozart.csv,53
2,Piano Sonata K576 ii A major.mid by Mozart.csv,28
2,Piano Sonata K576 iii D major.mid by Mozart.csv,19
3,Piano Sonata K279 i C major.mid by Mozart.csv,12
3,Piano Sonata K279 ii F major.mid by Mozart.csv,5
3,Piano Sonata K279 iii C major.mid by Mozart.csv,2
3,Piano Sonata K280 i F major.mid by Mozart.csv,20
3,Piano Sonata K282 i Eb major.mid by Mozart.csv,4
3,Piano Sonata K283 i G major.mid by Mozart.csv,1
3,Piano Sonata K284 i D major.mid by Mozart.csv,32
3,Piano Sonata K309 i C major.mid by Mozart.csv,12
3,Piano Sonata K309 ii F major.mid by Mozart.csv,2
3,Piano Sonata K309 iii C major.mid by Mozart.csv,6
3,Piano Sonata K311 i D major.mid by Mozart.csv,20
3,Piano Sonata K330 i C major.mid by Mozart.csv,10
3,Piano Sonata K330 iii C major.mid by Mozart.csv,8
3,Piano Sonata K332 i F major.mid by Mozart.csv,15
3,Piano Sonata K332 ii Bb major.mid by Mozart.csv,2
3,Piano Sonata K333 i Bb major.mid by Mozart.csv,12
3,Piano Sonata K372a i Bb major.mid by Mozart.csv,22
3,Piano Sonata K457 ii Eb major.mid by Mozart.csv,99
3,Piano Sonata K494 ii Bb major.mid by Mozart.csv,11
3,Piano Sonata K545 i C major.mid by Mozart.csv,2
3,Piano Sonata K545 iii C major.mid by Mozart.csv,3
3,Piano Sonata K570 i Bb major.mid by Mozart.csv,12
3,Piano Sonata K570 ii Eb major.mid by Mozart.csv,6
3,Piano Sonata K576 ii A major.mid by Mozart.csv,9
3,Piano Sonata K576 iii D major.mid by Mozart.csv,5
4,Piano Sonata K279 i C major.mid by Mozart.csv,24
4,Piano Sonata K279 ii F major.mid by Mozart.csv,16
4,Piano Sonata K279 iii C major.mid by Mozart.csv,25
4,Piano Sonata K280 i F major.mid by Mozart.csv,79
4,Piano Sonata K282 i Eb major.mid by Mozart.csv,4
4,Piano Sonata K283 i G major.mid by Mozart.csv,15
4,Piano Sonata K284 i D major.mid by Mozart.csv,40
4,Piano Sonata K284 ii A major.mid by Mozart.csv,9
4,Piano Sonata K309 i C major.mid by Mozart.csv,84
4,Piano Sonata K309 ii F major.mid by Mozart.csv,11
4,Piano Sonata K309 iii C major.mid by Mozart.csv,12
4,Piano Sonata K311 i D major.mid by Mozart.csv,77
4,Piano Sonata K311 ii G major.mid by Mozart.csv,27
4,Piano Sonata K330 i C major.mid by Mozart.csv,20
4,Piano Sonata K330 iii C major.mid by Mozart.csv,19
4,Piano Sonata K332 i F major.mid by Mozart.csv,34
4,Piano Sonata K332 ii Bb major.mid by Mozart.csv,2
4,Piano Sonata K333 i Bb major.mid by Mozart.csv,36
4,Piano Sonata K372a i Bb major.mid by Mozart.csv,46
4,Piano Sonata K457 ii Eb major.mid by Mozart.csv,39
4,Piano Sonata K494 ii Bb major.mid by Mozart.csv,22
4,Piano Sonata K545 i C major.mid by Mozart.csv,8
4,Piano Sonata K545 iii C major.mid by Mozart.csv,8
4,Piano Sonata K570 i Bb major.mid by Mozart.csv,35
4,Piano Sonata K570 ii Eb major.mid by Mozart.csv,14
4,Piano Sonata K576 ii A major.mid by Mozart.csv,10
4,Piano Sonata K576 iii D major.mid by Mozart.csv,6
5,Piano Sonata K279 i C major.mid by Mozart.csv,41
5,Piano Sonata K279 ii F major.mid by Mozart.csv,32
5,Piano Sonata K279 iii C major.mid by Mozart.csv,32
5,Piano Sonata K280 i F major.mid by Mozart.csv,50
5,Piano Sonata K282 i Eb major.mid by Mozart.csv,19
5,Piano Sonata K283 i G major.mid by Mozart.csv,37
5,Piano Sonata K284 i D major.mid by Mozart.csv,76
5,Piano Sonata K284 ii A major.mid by Mozart.csv,24
5,Piano Sonata K309 i C major.mid by Mozart.csv,87
5,Piano Sonata K309 ii F major.mid by Mozart.csv,26
5,Piano Sonata K309 iii C major.mid by Mozart.csv,19
5,Piano Sonata K311 i D major.mid by Mozart.csv,17
5,Piano Sonata K311 ii G major.mid by Mozart.csv,57
5,Piano Sonata K330 i C major.mid by Mozart.csv,64
5,Piano Sonata K330 iii C major.mid by Mozart.csv,81
5,Piano Sonata K332 i F major.mid by Mozart.csv,58
5,Piano Sonata K332 ii Bb major.mid by Mozart.csv,7
5,Piano Sonata K333 i Bb major.mid by Mozart.csv,73
5,Piano Sonata K372a i Bb major.mid by Mozart.csv,106
5,Piano Sonata K457 ii Eb major.mid by Mozart.csv,12
5,Piano Sonata K494 ii Bb major.mid by Mozart.csv,39
5,Piano Sonata K545 i C major.mid by Mozart.csv,18
5,Piano Sonata K545 iii C major.mid by Mozart.csv,13
5,Piano Sonata K570 i Bb major.mid by Mozart.csv,64
5,Piano Sonata K570 ii Eb major.mid by Mozart.csv,22
5,Piano Sonata K576 ii A major.mid by Mozart.csv,16
5,Piano Sonata K576 iii D major.mid by Mozart.csv,31
6,Piano Sonata K279 i C major.mid by Mozart.csv,35
6,Piano Sonata K279 ii F major.mid by Mozart.csv,27
6,Piano Sonata K279 iii C major.mid by Mozart.csv,19
6,Piano Sonata K280 i F major.mid by Mozart.csv,48
6,Piano Sonata K282 i Eb major.mid by Mozart.csv,18
6,Piano Sonata K283 i G major.mid by Mozart.csv,23
6,Piano Sonata K284 i D major.mid by Mozart.csv,82
6,Piano Sonata K284 ii A major.mid by Mozart.csv,28
6,Piano Sonata K309 i C major.mid by Mozart.csv,72
6,Piano Sonata K309 ii F major.mid by Mozart.csv,14
6,Piano Sonata K309 iii C major.mid by Mozart.csv,37
6,Piano Sonata K311 i D major.mid by Mozart.csv,5
6,Piano Sonata K311 ii G major.mid by Mozart.csv,1
6,Piano Sonata K330 i C major.mid by Mozart.csv,27
6,Piano Sonata K330 iii C major.mid by Mozart.csv,28
6,Piano Sonata K332 i F major.mid by Mozart.csv,33
6,Piano Sonata K332 ii Bb major.mid by Mozart.csv,10
6,Piano Sonata K333 i Bb major.mid by Mozart.csv,55
6,Piano Sonata K372a i Bb major.mid by Mozart.csv,100
6,Piano Sonata K457 ii Eb major.mid by Mozart.csv,54
6,Piano Sonata K494 ii Bb major.mid by Mozart.csv,16
6,Piano Sonata K545 i C major.mid by Mozart.csv,30
6,Piano Sonata K545 iii C major.mid by Mozart.csv,8
6,Piano Sonata K570 i Bb major.mid by Mozart.csv,32
6,Piano Sonata K570 ii Eb major.mid by Mozart.csv,21
6,Piano Sonata K576 ii A major.mid by Mozart.csv,22
6,Piano Sonata K576 iii D major.mid by Mozart.csv,29
7,Piano Sonata K279 i C major.mid by Mozart.csv,24
7,Piano Sonata K279 ii F major.mid by Mozart.csv,27
7,Piano Sonata K279 iii C major.mid by Mozart.csv,27
7,Piano Sonata K280 i F major.mid by Mozart.csv,21
7,Piano Sonata K282 i Eb major.mid by Mozart.csv,24
7,Piano Sonata K283 i G major.mid by Mozart.csv,21
7,Piano Sonata K284 i D major.mid by Mozart.csv,34
7,Piano Sonata K284 ii A major.mid by Mozart.csv,14
7,Piano Sonata K309 i C major.mid by Mozart.csv,60
7,Piano Sonata K309 ii F major.mid by Mozart.csv,12
7,Piano Sonata K309 iii C major.mid by Mozart.csv,26
7,Piano Sonata K311 i D major.mid by Mozart.csv,67
7,Piano Sonata K311 ii G major.mid by Mozart.csv,46
7,Piano Sonata K330 i C major.mid by Mozart.csv,28
7,Piano Sonata K330 iii C major.mid by Mozart.csv,27
7,Piano Sonata K332 i F major.mid by Mozart.csv,26
7,Piano Sonata K332 ii Bb major.mid by Mozart.csv,15
7,Piano Sonata K333 i Bb major.mid by Mozart.csv,44
7,Piano Sonata K372a i Bb major.mid by Mozart.csv,46
7,Piano Sonata K457 ii Eb major.mid by Mozart.csv,2
7,Piano Sonata K494 ii Bb major.mid by Mozart.csv,23
7,Piano Sonata K545 i C major.mid by Mozart.csv,14
7,Piano Sonata K545 iii C major.mid by Mozart.csv,2
7,Piano Sonata K570 i Bb major.mid by Mozart.csv,17
7,Piano Sonata K570 ii Eb major.mid by Mozart.csv,10
7,Piano Sonata K576 ii A major.mid by Mozart.csv,10
7,Piano Sonata K576 iii D major.mid by Mozart.csv,22
8,Piano Sonata K279 i C major.mid by Mozart.csv,37
8,Piano Sonata K279 ii F major.mid by Mozart.csv,13
8,Piano Sonata K279 iii C major.mid by Mozart.csv,23
8,Piano Sonata K280 i F major.mid by Mozart.csv,30
8,Piano Sonata K282 i Eb major.mid by Mozart.csv,6
8,Piano Sonata K283 i G major.mid by Mozart.csv,8
8,Piano Sonata K284 i D major.mid by Mozart.csv,32
8,Piano Sonata K284 ii A major.mid by Mozart.csv,11
8,Piano Sonata K309 i C major.mid by Mozart.csv,42
8,Piano Sonata K309 ii F major.mid by Mozart.csv,14
8,Piano Sonata K309 iii C major.mid by Mozart.csv,12
8,Piano Sonata K311 i D major.mid by Mozart.csv,27
8,Piano Sonata K311 ii G major.mid by Mozart.csv,19
8,Piano Sonata K330 i C major.mid by Mozart.csv,25
8,Piano Sonata K330 iii C major.mid by Mozart.csv,32
8,Piano Sonata K332 i F major.mid by Mozart.csv,34
8,Piano Sonata K332 ii Bb major.mid by Mozart.csv,6
8,Piano Sonata K333 i Bb major.mid by Mozart.csv,31
8,Piano Sonata K372a i Bb major.mid by Mozart.csv,66
8,Piano Sonata K494 ii Bb major.mid by Mozart.csv,13
8,Piano Sonata K545 i C major.mid by Mozart.csv,11
8,Piano Sonata K545 iii C major.mid by Mozart.csv,18
8,Piano Sonata K570 i Bb major.mid by Mozart.csv,30
8,Piano Sonata K570 ii Eb major.mid by Mozart.csv,19
8,Piano Sonata K576 ii A major.mid by Mozart.csv,17
8,Piano Sonata K576 iii D major.mid by Mozart.csv,12
9,Piano Sonata K279 i C major.mid by Mozart.csv,40
9,Piano Sonata K279 ii F major.mid by Mozart.csv,25
9,Piano Sonata K279 iii C major.mid by Mozart.csv,44
9,Piano Sonata K280 i F major.mid by Mozart.csv,48
9,Piano Sonata K282 i Eb major.mid by Mozart.csv,11
9,Piano Sonata K283 i G major.mid by Mozart.csv,35
9,Piano Sonata K284 i D major.mid by Mozart.csv,48
9,Piano Sonata K284 ii A major.mid by Mozart.csv,16
9,Piano Sonata K309 i C major.mid by Mozart.csv,106
9,Piano Sonata K309 ii F major.mid by Mozart.csv,16
9,Piano Sonata K309 iii C major.mid by Mozart.csv,19
9,Piano Sonata K311 i D major.mid by Mozart.csv,7
9,Piano Sonata K311 ii G major.mid by Mozart.csv,11
9,Piano Sonata K330 i C major.mid by Mozart.csv,69
9,Piano Sonata K330 iii C major.mid by Mozart.csv,60
9,Piano Sonata K332 i F major.mid by Mozart.csv,56
9,Piano Sonata K332 ii Bb major.mid by Mozart.csv,1
9,Piano Sonata K333 i Bb major.mid by Mozart.csv,66
9,Piano Sonata K372a i Bb major.mid by Mozart.csv,78
9,Piano Sonata K457 ii Eb major.mid by Mozart.csv,27
9,Piano Sonata K494 ii Bb major.mid by Mozart.csv,26
9,Piano Sonata K545 i C major.mid by Mozart.csv,15
9,Piano Sonata K545 iii C major.mid by Mozart.csv,13
