offsetRange,pitchSet
0.0 to 3.75,"{0, 2, 4, 5, 7, 11}"
4.0 to 7.875,"{0, 2, 4, 5, 7, 9, 11}"
8.0 to 11.75,"{0, 2, 4, 5, 7, 11}"
12.0 to 15.875,"{0, 2, 4, 5, 7, 9, 11}"
16.0 to 19.75,"{0, 1, 2, 4, 7, 11}"
20.0 to 23.75,"{0, 1, 2, 3, 4, 5, 7, 11}"
24.0 to 27.75,"{0, 4, 5, 6, 7, 8, 9, 10}"
28.0 to 31.75,"{0, 4, 5, 6, 7, 9, 11}"
32.0 to 35.75,"{0, 4, 5, 7, 9}"
36.0 to 39.0,"{0, 2, 4, 5, 7, 8, 9, 11}"
40.0 to 43.75,"{0, 2, 4, 5, 7, 9}"
44.0 to 47.75,"{0, 2, 4, 5, 7, 10, 11}"
48.0 to 51.75,"{0, 2, 4, 5, 7, 9, 10, 11}"
52.0 to 55.875,"{0, 2, 4, 5, 7, 9, 10, 11}"
56.0 to 59.875,"{0, 2, 4, 5, 7, 9, 11}"
60.0 to 63.25,"{0, 2, 3, 4, 5, 7, 11}"
64.0 to 67.625,"{2, 4, 5, 8, 9, 11}"
68.0 to 71.25,"{0, 9, 2, 11}"
72.0 to 75.625,"{0, 2, 4, 6, 7, 9}"
76.0 to 79.75,"{0, 2, 4, 6, 7, 11}"
80.0 to 83.75,"{0, 2, 4, 6, 7, 11}"
84.0 to 87.875,"{0, 2, 4, 6, 7, 8, 9, 11}"
88.0 to 91.875,"{0, 1, 2, 4, 6, 7, 9, 11}"
92.0 to 95.875,"{0, 1, 2, 4, 6, 7, 8, 9, 11}"
96.0 to 99.875,"{0, 2, 4, 6, 7, 9, 11}"
100.0 to 103.75,"{0, 2, 4, 6, 7, 8, 9, 11}"
104.0 to 107.5,"{0, 2, 4, 6, 7, 8, 9, 11}"
108.0 to 111.5,"{0, 3, 11, 4}"
112.0 to 115.875,"{0, 3, 4, 8, 9, 11}"
116.0 to 119.75,"{0, 2, 6, 7, 8, 9, 11}"
120.0 to 123.75,"{2, 6, 7, 9, 11}"
124.0 to 127.75,"{0, 2, 3, 4, 6, 7, 9, 11}"
128.0 to 131.75,"{2, 4, 6, 7, 8, 9, 11}"
132.0 to 135.75,"{0, 2, 3, 4, 6, 7, 9, 10, 11}"
136.0 to 139.75,"{0, 1, 2, 4, 6, 7, 9, 11}"
140.0 to 143.5,"{0, 2, 4, 6, 9}"
144.0 to 147.75,"{0, 1, 2, 6, 7, 9, 11}"
148.0 to 150.0,"{2, 6, 7, 9, 11}"
152.0 to 155.75,"{0, 2, 4, 5, 7, 11}"
156.0 to 159.875,"{0, 2, 4, 5, 7, 9, 11}"
160.0 to 163.75,"{0, 2, 4, 5, 7, 11}"
164.0 to 167.875,"{0, 2, 4, 5, 7, 9, 11}"
168.0 to 171.75,"{0, 1, 2, 4, 7, 11}"
172.0 to 175.75,"{0, 1, 2, 3, 4, 5, 7, 11}"
176.0 to 179.75,"{0, 4, 5, 6, 7, 8, 9, 10}"
180.0 to 183.75,"{0, 4, 5, 6, 7, 9, 11}"
184.0 to 187.75,"{0, 4, 5, 7, 9}"
188.0 to 191.0,"{0, 2, 4, 5, 7, 8, 9, 11}"
192.0 to 195.75,"{0, 2, 4, 5, 7, 9}"
196.0 to 199.75,"{0, 2, 4, 5, 7, 10, 11}"
200.0 to 203.75,"{0, 2, 4, 5, 7, 9, 10, 11}"
204.0 to 207.875,"{0, 2, 4, 5, 7, 9, 10, 11}"
208.0 to 211.875,"{0, 2, 4, 5, 7, 9, 11}"
212.0 to 215.25,"{0, 2, 3, 4, 5, 7, 11}"
216.0 to 219.625,"{2, 4, 5, 8, 9, 11}"
220.0 to 223.25,"{0, 9, 2, 11}"
224.0 to 227.625,"{0, 2, 4, 6, 7, 9}"
228.0 to 231.75,"{0, 2, 4, 6, 7, 11}"
232.0 to 235.75,"{0, 2, 4, 6, 7, 11}"
236.0 to 239.875,"{0, 2, 4, 6, 7, 8, 9, 11}"
240.0 to 243.875,"{0, 1, 2, 4, 6, 7, 9, 11}"
244.0 to 247.875,"{0, 1, 2, 4, 6, 7, 8, 9, 11}"
248.0 to 251.875,"{0, 2, 4, 6, 7, 9, 11}"
252.0 to 255.75,"{0, 2, 4, 6, 7, 8, 9, 11}"
256.0 to 259.5,"{0, 2, 4, 6, 7, 8, 9, 11}"
260.0 to 263.5,"{0, 3, 11, 4}"
264.0 to 267.875,"{0, 3, 4, 8, 9, 11}"
268.0 to 271.75,"{0, 2, 6, 7, 8, 9, 11}"
272.0 to 275.75,"{2, 6, 7, 9, 11}"
276.0 to 279.75,"{0, 2, 3, 4, 6, 7, 9, 11}"
280.0 to 283.75,"{2, 4, 6, 7, 8, 9, 11}"
284.0 to 287.75,"{0, 2, 3, 4, 6, 7, 9, 10, 11}"
288.0 to 291.75,"{0, 1, 2, 4, 6, 7, 9, 11}"
292.0 to 295.5,"{0, 2, 4, 6, 9}"
296.0 to 299.75,"{0, 1, 2, 6, 7, 9, 11}"
300.0 to 302.0,"{2, 6, 7, 9, 11}"
304.0 to 307.75,"{10, 2, 6, 7}"
308.0 to 311.75,"{0, 1, 4, 6, 7, 9}"
312.0 to 315.75,"{9, 2, 4, 5}"
316.0 to 319.75,"{2, 4, 5, 7, 11}"
320.0 to 323.75,"{0, 2, 4, 7}"
324.0 to 327.75,"{1, 10, 2, 5}"
328.0 to 331.875,"{0, 2, 3, 4, 5, 6, 7, 8, 9, 11}"
332.0 to 335.875,"{0, 2, 3, 4, 5, 6, 7, 9, 10}"
336.0 to 339.75,"{0, 2, 4, 5, 7, 9, 10}"
340.0 to 343.75,"{0, 4, 5, 7, 9, 11}"
344.0 to 347.75,"{0, 2, 3, 4, 5, 7, 11}"
348.0 to 351.75,"{0, 2, 4, 5, 7, 11}"
352.0 to 355.75,"{0, 2, 4, 6, 7, 9, 11}"
356.0 to 359.75,"{0, 2, 4, 5, 6, 7, 9}"
360.0 to 363.75,"{0, 2, 4, 6, 7, 9, 11}"
364.0 to 367.75,"{0, 2, 4, 5, 6, 7, 9}"
368.0 to 371.75,"{0, 2, 4, 6, 7, 9, 11}"
372.0 to 375.75,"{0, 2, 4, 6, 7, 9, 11}"
376.0 to 379.75,"{0, 2, 4, 5, 6, 7, 8, 9, 11}"
380.0 to 383.75,"{0, 2, 4, 5, 7, 11}"
384.0 to 387.875,"{0, 2, 4, 5, 7, 9, 11}"
388.0 to 391.75,"{0, 2, 4, 5, 7, 11}"
392.0 to 395.875,"{0, 2, 4, 5, 7, 9, 11}"
396.0 to 399.75,"{0, 2, 4, 5, 7, 10, 11}"
400.0 to 403.75,"{0, 4, 5, 7, 9, 10}"
404.0 to 407.75,"{0, 1, 4, 5, 7, 9, 10}"
408.0 to 411.75,"{1, 2, 4, 5, 7, 8, 11}"
412.0 to 415.75,"{0, 2, 3, 4, 5, 6, 7, 9, 11}"
416.0 to 419.75,"{0, 2, 3, 4, 5, 6, 7, 9, 11}"
420.0 to 423.75,"{0, 2, 4, 5, 6, 7, 9, 11}"
424.0 to 426.0,"{0, 2, 4, 5, 6, 7, 9, 11}"
428.0 to 431.75,"{1, 4, 6, 7, 9}"
432.0 to 435.875,"{1, 2, 4, 5, 7, 9, 10}"
436.0 to 439.0,"{2, 4, 5, 7}"
440.0 to 443.75,"{2, 11, 5, 7}"
444.0 to 447.875,"{0, 2, 4, 5, 7, 9, 11}"
448.0 to 451.75,"{0, 2, 4, 5, 7, 9, 11}"
452.0 to 455.75,"{0, 1, 2, 4, 5, 7, 9, 11}"
456.0 to 459.875,"{0, 2, 4, 5, 7, 9, 11}"
460.0 to 463.875,"{0, 2, 4, 5, 6, 7, 9, 11}"
464.0 to 467.75,"{0, 2, 4, 5, 7, 9, 11}"
468.0 to 471.875,"{0, 1, 2, 4, 5, 7, 9, 11}"
472.0 to 475.875,"{0, 2, 4, 5, 6, 7, 9, 11}"
476.0 to 479.75,"{2, 4, 5, 7, 9, 11}"
480.0 to 483.75,"{0, 2, 5, 7, 9, 11}"
484.0 to 487.875,"{0, 2, 4, 5, 7, 11}"
488.0 to 491.875,"{0, 2, 4, 5, 7, 9, 11}"
492.0 to 495.875,"{0, 2, 4, 5, 7, 11}"
496.0 to 499.875,"{0, 1, 2, 3, 4, 5, 7, 9, 11}"
500.0 to 503.5,"{0, 1, 2, 4, 5, 7, 8, 9, 11}"
504.0 to 507.5,"{0, 4, 5, 8, 9, 11}"
508.0 to 511.625,"{0, 1, 2, 4, 5, 8, 9, 11}"
512.0 to 515.7916667,"{0, 2, 4, 5, 7}"
516.0 to 519.75,"{0, 2, 4, 7, 11}"
520.0 to 523.75,"{0, 2, 4, 5, 7, 8, 9, 11}"
524.0 to 527.75,"{0, 1, 2, 4, 7, 9, 11}"
528.0 to 531.75,"{0, 2, 3, 4, 5, 7, 8, 9, 11}"
532.0 to 535.75,"{0, 2, 4, 5, 6, 7, 9, 11}"
536.0 to 539.75,"{2, 5, 7, 9, 11}"
540.0 to 543.75,"{0, 2, 4, 5, 6, 7, 11}"
544.0 to 547.75,"{0, 2, 4, 7, 11}"
548.0 to 550.0,"{0, 4, 7}"
